galaxy_x,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio,galaxy_key,galaxy_y,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
UGC07866_rotmod,20.207547017946165,255115256.3519464,110920563.17269184,144194693.1792546,0.0,0.0,1.2999816179688737,UGC07866_rotmod,UGC07866_rotmod,1.0,3.1884959972681426e-10,1.0,6.537648959891011,7
UGC05918_rotmod,20.929611652668235,551867545.3353218,254298707.32769763,297568838.00762403,0.0,0.0,1.1701547409919275,UGC05918_rotmod,UGC05918_rotmod,1.0,3.5518031979221764e-10,1.0,6.831008252737635,8
UGC07151_rotmod,53.33751845414351,3950794887.604057,1024144740.2769556,2926650147.327102,0.0,0.0,2.8576528611919243,UGC07151_rotmod,UGC07151_rotmod,1.0,1.1327661481477887e-10,1.0,14.44823410540517,11
UGC05253_rotmod,137.89980220691362,208803558630.7003,28332874778.06334,114805637184.80742,65665046667.82954,0.3144824115951385,4.052029244617825,UGC05253_rotmod,UGC05253_rotmod,0.9999999999999112,1.2720192956675949e-11,0.5912533967020085,45.78960304607634,73
D631-7_rotmod,21.34430711484842,658689865.5335963,453463010.6734288,205226854.8601676,0.0,0.0,0.4525768365437113,D631-7_rotmod,D631-7_rotmod,1.0,2.2449769079564895e-10,1.0,9.652370731236376,16
NGC4010_rotmod,101.5320177560453,22583795381.408745,2769524060.2938623,19814271321.11488,0.0,0.0,7.154395805831155,NGC4010_rotmod,NGC4010_rotmod,1.0,6.786863554010532e-11,1.0,21.588038778256095,12
NGC0024_rotmod,55.47669195385326,5306282362.309149,1103327409.5023732,4202954952.806777,0.0,0.0,3.809345183133273,NGC0024_rotmod,NGC0024_rotmod,1.0,1.1117568153513697e-10,1.0,11.645650517386942,29
NGC1003_rotmod,45.73967091433955,16762038084.218275,9860778631.970226,6901259452.248049,0.0,0.0,0.699869625900845,NGC1003_rotmod,NGC1003_rotmod,1.0,9.257584306620913e-11,1.0,19.141062817621112,36
NGC0055_rotmod,57.50587851280187,10777382763.045452,3545655786.2220693,7231726976.823381,0.0,0.0,2.039602097001316,NGC0055_rotmod,NGC0055_rotmod,1.0,9.920240489556212e-11,1.0,21.586664703135586,21
NGC3198_rotmod,80.43010931548665,62382839168.32526,23455770635.305206,38927068533.02002,0.0,0.0,1.659594525298934,NGC3198_rotmod,NGC3198_rotmod,1.0,5.1230348148674665e-11,1.0,21.15190732753749,43
UGC07524_rotmod,50.94296663574073,6618272448.663064,2968594997.0780907,3649677451.584974,0.0,0.0,1.229429226680384,UGC07524_rotmod,UGC07524_rotmod,1.0,1.5861588677601846e-10,1.0,14.45516515355457,31
NGC6195_rotmod,253.80482264454525,433300610054.4114,36794895421.02106,291675858704.5951,104829855928.79524,0.2419333218008424,7.92707399673596,NGC6195_rotmod,NGC6195_rotmod,0.9999999999998938,7.940105002747054e-12,0.3637663088662403,59.613777731153895,23
UGC07608_rotmod,24.82843067304448,940388247.40028,646559179.4459565,293829067.9543236,0.0,0.0,0.4544503848914633,UGC07608_rotmod,UGC07608_rotmod,1.0,2.8003402620076826e-10,1.0,8.577745520796903,8
F571-V1_rotmod,41.14989365532739,4853091370.032733,2620777856.4007936,2232313513.6319413,0.0,0.0,0.851775173611111,F571-V1_rotmod,F571-V1_rotmod,1.0,1.3663891524763338e-10,1.0,15.032736876272178,7
UGC05005_rotmod,48.03591986377263,14562488066.825851,10127871122.7155,4434616944.110353,0.0,0.0,0.4378626949709188,UGC05005_rotmod,UGC05005_rotmod,1.0,1.430185194021356e-10,1.0,15.268253344332978,11
NGC5985_rotmod,200.27489796650397,290982692959.89844,18267192177.24039,262536460349.0401,10179040433.617985,0.0349816008989263,14.372020494542214,NGC5985_rotmod,NGC5985_rotmod,0.9999999999992323,1.4186470360859866e-11,0.09031160635757463,29.978607269544653,33
UGC08490_rotmod,31.42728791676597,2235406114.801276,1194694479.4068573,1040711635.394418,0.0,0.0,0.8711111111111112,UGC08490_rotmod,UGC08490_rotmod,1.0,1.3485901551867693e-10,1.0,13.89353544856623,30
UGC06614_rotmod,129.66567148744042,183147697631.9376,56411845218.55828,59925658733.00004,66810193680.37932,0.3647886080153969,1.06228857611071,UGC06614_rotmod,UGC06614_rotmod,0.9999999999997906,2.0154629171087475e-11,0.60132091191386,39.09191062957767,13
UGCA281_rotmod,19.106273189300047,94855072.44231944,25160408.550361127,69694663.89195833,0.0,0.0,2.7700132035796377,UGCA281_rotmod,UGCA281_rotmod,1.0,5.29007894179303e-10,1.0,5.759381569930546,7
UGC05716_rotmod,32.930757469454605,2840578900.336436,2227521428.955374,613057471.3810616,0.0,0.0,0.2752195617119441,UGC05716_rotmod,UGC05716_rotmod,1.0,1.6698815948244737e-10,1.0,10.976022868951144,12
UGCA444_rotmod,15.689521721467193,132965272.92367823,116175466.98320182,16789805.940476447,0.0,0.0,0.1445210970652189,UGCA444_rotmod,UGCA444_rotmod,1.0,7.224293783783235e-10,1.0,3.7852825177195553,36
NGC3521_rotmod,180.5121939914725,96945031704.27248,7355658476.569262,89589373227.70326,0.0,0.0,12.179653733663892,NGC3521_rotmod,NGC3521_rotmod,1.0,2.063020286310865e-11,1.0,18.53409878722426,41
NGC0891_rotmod,213.29598294000007,159576009962.2855,8069981731.991204,132582755881.19267,18923272349.101585,0.1185846942380245,16.429127138616078,NGC0891_rotmod,NGC0891_rotmod,0.9999999999998131,1.451858269779122e-11,0.25212172736898997,39.79311957070599,18
UGC07690_rotmod,43.37948672073761,1413707833.3357167,481375538.2063741,932332295.1293432,0.0,0.0,1.9368086268015472,UGC07690_rotmod,UGC07690_rotmod,1.0,1.1304709909860321e-10,1.0,13.291878553131768,7
UGC05721_rotmod,31.60571056473764,1486780626.7592828,947551301.3360076,539229325.4232754,0.0,0.0,0.5690766554412248,UGC05721_rotmod,UGC05721_rotmod,1.0,1.4723267394386018e-10,1.0,12.169564991449526,23
UGC06787_rotmod,122.4131045677636,112543772486.9479,9484896866.386969,55131752482.42995,47927123138.131004,0.425853177648628,5.812583231959906,UGC06787_rotmod,UGC06787_rotmod,0.9999999999999029,1.808693532432866e-11,0.6619605520381509,48.39303496486491,71
UGC05764_rotmod,22.823275688237334,429333335.4911439,324320908.6523175,105012426.83882636,0.0,0.0,0.3237917261492476,UGC05764_rotmod,UGC05764_rotmod,1.0,3.7001721750816023e-10,1.0,7.1707870903425786,10
NGC4013_rotmod,111.97036314541216,85656191628.25897,4945367170.462772,65288457986.0542,15422366471.741987,0.1800496400619096,13.201943503002772,NGC4013_rotmod,NGC4013_rotmod,0.9999999999989181,1.6135016480015366e-11,-0.11787525107921339,10.485020971554396,36
NGC4559_rotmod,84.99102452455898,33697958433.786823,13092392786.333485,20605565647.453342,0.0,0.0,1.5738578870748894,NGC4559_rotmod,NGC4559_rotmod,1.0,5.3234731218346515e-11,1.0,27.046821360812583,32
DDO154_rotmod,18.226982292464143,390621003.52837855,336682840.5096149,53938163.018763706,0.0,0.0,0.1602046689909144,DDO154_rotmod,DDO154_rotmod,1.0,2.8976719645688673e-10,1.0,6.021453428796891,12
DDO064_rotmod,27.488815258955743,545756640.2492838,340544153.51745045,205212486.7318332,0.0,0.0,0.6026017026344793,DDO064_rotmod,DDO064_rotmod,1.0,6.724701429581538e-10,1.0,8.07657178390048,14
NGC3769_rotmod,67.51264179207308,27493668664.845554,8610941672.641441,18882726992.20412,0.0,0.0,2.192875960616252,NGC3769_rotmod,NGC3769_rotmod,1.0,6.046729514789354e-11,1.0,25.16873711064921,12
UGC01281_rotmod,26.65534840303284,871232694.7578529,485665867.8835738,385566826.874279,0.0,0.0,0.7938931935952086,UGC01281_rotmod,UGC01281_rotmod,1.0,3.900429528481314e-10,1.0,8.289188550508506,25
F583-4_rotmod,40.51719190424126,2713678146.5874763,398325047.32584095,2315353099.2616343,0.0,0.0,5.81272283730531,F583-4_rotmod,F583-4_rotmod,1.0,2.966381373455855e-10,1.0,8.285117449448968,12
NGC4183_rotmod,64.2317986909034,18261635870.09698,6107132272.405056,12154503597.691923,0.0,0.0,1.9902145647985687,NGC4183_rotmod,NGC4183_rotmod,1.0,7.521911153500625e-11,1.0,23.649209000685936,23
NGC5585_rotmod,49.732802334376856,5788439024.679656,2688242071.9239044,3100196952.755749,0.0,0.0,1.1532432235676675,NGC5585_rotmod,NGC5585_rotmod,1.0,1.3071685214751963e-10,1.0,13.50991785413024,24
NGC3953_rotmod,239.0847146494465,179591397728.4821,5126658302.435557,174464739426.0465,0.0,0.0,34.03088895999999,NGC3953_rotmod,NGC3953_rotmod,1.0,2.1769937145543132e-11,1.0,20.659832636935256,8
UGC01230_rotmod,57.43836094854613,21599159511.876312,13329197598.74699,8269961913.129324,0.0,0.0,0.6204395914954957,UGC01230_rotmod,UGC01230_rotmod,1.0,1.1401048769185925e-10,1.0,18.296127464589585,11
UGC02259_rotmod,44.7347676571964,3379698568.5148845,1251964780.6009717,2127733787.913913,0.0,0.0,1.6995156899641797,UGC02259_rotmod,UGC02259_rotmod,1.0,1.298336974330505e-10,1.0,14.154049784745782,8
F571-8_rotmod,70.03325629796204,11568274772.490488,460017518.6435821,11108257253.846909,0.0,0.0,24.14746570217796,F571-8_rotmod,F571-8_rotmod,1.0,6.915709007565815e-11,1.0,7.756578560388188,13
UGC05750_rotmod,44.05107537302784,11005042422.432638,7257313898.234341,3747728524.1983,0.0,0.0,0.5164071138097112,UGC05750_rotmod,UGC05750_rotmod,1.0,3.9676893101526014e-10,1.0,11.808507170223443,11
UGC04278_rotmod,48.3350422839985,4122540754.003925,2322341759.8595147,1800198994.1444087,0.0,0.0,0.7751654064272211,UGC04278_rotmod,UGC04278_rotmod,1.0,2.8304649005713093e-10,1.0,11.363627525459508,25
NGC4088_rotmod,182.2333695830634,128648861682.75436,12595443733.615084,116053417949.13931,0.0,0.0,9.213920557591203,NGC4088_rotmod,NGC4088_rotmod,1.0,2.5954666303427666e-11,1.0,37.63620012463117,12
UGC07559_rotmod,20.48262513979644,299951640.43115205,159176189.56057087,140775450.87058112,0.0,0.0,0.8844001810774107,UGC07559_rotmod,UGC07559_rotmod,1.0,3.053737202812809e-10,1.0,7.0114541979042615,7
NGC7331_rotmod,190.74945308797828,286000460411.1081,19426361414.235107,254948002159.90424,11626096836.96882,0.0406506228005962,13.123816484392457,NGC7331_rotmod,NGC7331_rotmod,1.0,1.9772172044469233e-11,-0.1531006918730095,35.615031829802966,36
UGC07603_rotmod,28.570133596915475,698042229.5139676,283027959.88853496,415014269.6254327,0.0,0.0,1.4663366467004817,UGC07603_rotmod,UGC07603_rotmod,1.0,1.7250533226431895e-10,1.0,10.061961487353331,12
DDO168_rotmod,28.37805599341777,752037327.7350788,495340587.7399184,256696739.9951603,0.0,0.0,0.5182227064541307,DDO168_rotmod,DDO168_rotmod,1.0,2.1391282345932768e-10,1.0,10.394603374787545,10
NGC4389_rotmod,137.96543100894888,24924164453.935,597575504.5712222,24326588949.363777,0.0,0.0,40.708812130475145,NGC4389_rotmod,NGC4389_rotmod,1.0,4.0963117179501065e-11,1.0,14.360512161481807,6
UGC05414_rotmod,37.684316341821,1646129004.613377,521897269.9278815,1124231734.6854966,0.0,0.0,2.1541245748245603,UGC05414_rotmod,UGC05414_rotmod,1.0,1.6282871103204227e-10,1.0,12.628614440451997,6
UGC06930_rotmod,71.4913046104023,16495083199.956884,6172782722.721069,10322300477.235815,0.0,0.0,1.672228060002988,UGC06930_rotmod,UGC06930_rotmod,1.0,7.501797982250047e-11,1.0,22.41998218973051,10
UGC04305_rotmod,39.16052498696585,1878306603.356307,956511399.4352162,921795203.9210906,0.0,0.0,0.9637054032658428,UGC04305_rotmod,UGC04305_rotmod,1.0,2.3133508152235882e-10,1.0,12.133219392882703,22
UGC08699_rotmod,111.90757224799336,60440386956.03325,6927764790.429984,38788736127.8068,14723886037.796469,0.2436100557811983,5.59902613630728,UGC08699_rotmod,UGC08699_rotmod,0.9999999999998098,2.3081398990081874e-11,0.45764730529348785,38.90094913491467,41
UGC08837_rotmod,31.70135210066473,1164833989.585077,514328332.2930598,650505657.2920173,0.0,0.0,1.2647673022246904,UGC08837_rotmod,UGC08837_rotmod,1.0,2.3715590073999197e-10,1.0,10.08051347152241,8
NGC5033_rotmod,120.61731032914038,133467887279.08562,19026643242.50462,89223316840.8625,25217927195.718468,0.1889437804839674,4.689388228058108,NGC5033_rotmod,NGC5033_rotmod,0.9999999999997837,2.6352485687781145e-11,0.23690631211472699,43.489050824782474,22
